id,title,authors,year,venue,search_string,v1_decision,v1_reason
1,Software Engineering Education Must Adapt and Evolve for an LLM Environment,"Vassilka D. Kirova, Cyril S. Ku, Joseph R. Laracy, Thomas J. Marlowe",2024,SIGCSE : Proceedings of the 55th ACM Technical Symposium on Computer Science Education V. 1Pages 666–672https://doi.org/10.1145/3626252.3630927,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
2,"LLM-Based Multi-Agent Systems for Software Engineering: Literature Review, Vision, and the Road Ahead","Junda He, Christoph Treude, David Lo",2026,"ACM Transactions on Software Engineering and Methodology (TOSEM), Volume 34, Issue 5Article No.: 124, Pages 1–30https://doi.org/10.1145/3712003",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
3,Quality Assessment of Python Tests Generated by Large Language Models,"Victor Alves, Carla Bezerra, Ivan Machado, Larissa Rocha, Tassio Virgínio, + 1",2026,EASE '25: Proceedings of the 29th International Conference on Evaluation and Assessment in Software EngineeringPages 394–405https://doi.org/10.1145/3756681.3756964,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
4,CodeNoCode Predictive Modeling: Co-Development with LLMs for Transparency and Inclusivity,"Felix Dobslaw, Leif Sundberg",2026,FSE Companion '25: Proceedings of the 33rd ACM International Conference on the Foundations of Software EngineeringPages 1550–1551https://doi.org/10.1145/3696630.3731675,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
5,SAST '23: Proceedings of the 8th Brazilian Symposium on Systematic and Automated Software Testing,"Awdren Fontão, Débora Paiva, Hudson Borges, Maria Istela, + 5",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
6,Summary of the 5th International Workshop on Automated andverifiable Software sYstem DEvelopment (ASYDE)co-located with the 38th IEEE/ACM ASE 2023,"Farhad Arbab, Marco Autili, Federico Ciccozzi, Pascal Poizat, Massimo Tivoli",2026,"ACM SIGSOFT Software Engineering Notes (SIGSOFT), Volume 49, Issue 1Pages 24–26https://doi.org/10.1145/3635439.3635444",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
7,TimelyTale: A Multimodal Dataset Approach to Assessing Passengers' Explanation Demands in Highly Automated Vehicles,"Gwangbin Kim, Seokhyun Hwang, Minwoo Seong, Dohyeon Yeo, Daniela Rus, + 1",2026,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies (IMWUT), Volume 8, Issue 3Article No.: 109, Pages 1–60https://doi.org/10.1145/3678544",String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
8,"A-TEST 2024: Proceedings of the 15th ACM International Workshop on Automating Test Case Design, Selection and Evaluation","Wishnu Prasetya, Tanja E. J. Vos, Tijs van der Storm",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
9,Are Vision LLMs Road-Ready? A Comprehensive Benchmark for Safety-Critical Driving Video Understanding,"Tong Zeng, Longfeng Wu, Liang Shi, Dawei Zhou, Feng Guo",2026,KDD '25: Proceedings of the 31st ACM SIGKDD Conference on Knowledge Discovery and Data Mining V.2Pages 5972–5983https://doi.org/10.1145/3711896.3737396,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
10,ASE '22: Proceedings of the 37th IEEE/ACM International Conference on Automated Software Engineering,"2,875 Citation 251,694 Downloads Highlights",2026,ACM Digital Library,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM
