id,title,authors,year,venue,search_strings,v1_decision,v1_reason,v2_decision,v2_reason
1,Comparative analysis of large language model tools for automated test data generation from bdd,"I Mendoza, F Silva Filho, G Medeiros, A Paes… - Simpósio Brasileiro de …, 2024",2026,sol.sbc.org.br,String A,INCLUDE,,INCLUDE,
2,A Comparative Study of LLMs for Gherkin Generation,"H Fernandes, M Perkusich, D Albuquerque… - Simpósio Brasileiro de …, 2025",2026,sol.sbc.org.br,String A; String B,INCLUDE,,INCLUDE,
3,Increasing test coverage by automating bdd tests in proofs of concepts (pocs) using llm,"SRR Santos, RES Fernandes, MCB Santos… - Proceedings of the XXIII …, 2024",2026,dl.acm.org,String A; String B,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
4,Baseline evaluation of llm-facilitated ui test-case generation from gherkin specifications,"A Poth, O Rrjolli, H Wang, K Schmid - European Conference on Software …, 2025",2026,Springer,String A; String B,INCLUDE,,INCLUDE,
5,Comprehensive evaluation and insights into the use of large language models in the automation of behavior-driven development acceptance test formulation,"S Karpurapu, S Myneni, U Nettur, LS Gajja… - IEEE …, 2024",2026,ieeexplore.ieee.org,String A; String B,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
6,Acceptance test generation with large language models: An industrial case study,"M Ferreira, L Viegas, JP Faria… - 2025 IEEE/ACM …, 2025",2026,ieeexplore.ieee.org,String A; String B,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
7,Automated Test Generation Using LLM Based on BDD: A Comparative Study,"SRR dos Santos, LFC dos Santos, MVS Silva…",2026,scitepress.org,String A; String B,INCLUDE,,INCLUDE,
8,Behaviour Driven Development Scenario Generation with Large Language Models,"A Rathnayake, M Shahin, G Abaei - arXiv preprint arXiv:2603.04729, 2026",2026,arxiv.org,String A; String B,INCLUDE,,INCLUDE,
9,LLM-based Behaviour Driven Development for Hardware Design,"R Drechsler, Q Liu - arXiv preprint arXiv:2512.17814, 2025",2026,arxiv.org,String A,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
10,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,"SB Patel, S Nigam, S Mahale - 2025 IEEE International …, 2025",2026,ieeexplore.ieee.org,String A; String B,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
11,Comparison of Methods for Automated BDD Scenario Generation with NLP and AI,"LI Matveeva, V Kunštár, K Jelemenská… - 2025 5th International …, 2025",2026,ieeexplore.ieee.org,String A; String B,INCLUDE,,INCLUDE,
12,E2Edev: Benchmarking Large Language Models in End-to-End Software Development Task,"J Liu, C Huang, Z Guan, W Lei, Y Deng - arXiv preprint arXiv:2510.14509, 2025",2026,arxiv.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
13,Agentic AI for Behavior-Driven Development Testing Using Large Language Models.,"C Paduraru, M Zavelca, A Stefanescu - ICAART (2), 2025",2026,researchgate.net,String A; String B,INCLUDE,,INCLUDE,
14,Automating Behavior-Driven Development with Large Language Models: Exploring Test Case Generation for Fintech projects,N Tesfalidet,2025,diva-portal.org,String A; String B,INCLUDE,,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
15,[TRÍCH DẪN] Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,"SK Tiwari - Frontiers in Emerging Computer Science and …, 2025",2026,Google Scholar,String A; String B,INCLUDE,,INCLUDE,
16,The Role of Machine Learning and Large Language Models in Software Testing and Validation,"Y Hachaïchi, MA Ouerghi - 2025 IEEE 22nd International …, 2025",2026,ieeexplore.ieee.org,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
17,Guidelines for Adopting Behavior-Driven Development (BDD): A Case Study,"SRR dos Santos, MVS Silva, MCB dos Santos…",2026,scitepress.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
18,AUGMENTING SOFTWARE TESTING AND AUTOMATION THROUGH BEHAVIOR-DRIVEN DEVELOPMENT (BDD) AND ARTIFICIAL INTELLIGENCE,K Dhir,2026,researchgate.net,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
19,An Experiment with Focus on Security Through Large-Language Models Using Behavior-Driven Development,"S Santos, T Pimentel, M Silva, L Santos, F Rocha…",2025,preprints.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
20,Guidelines for the adoption of behavior-driven development (BDD): an approach with design science research,SRR Santos,2025,ri.ufs.br,String A; String B,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
21,THESIS/THÈSE,M GALLOY,2026,pure.unamur.be,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
22,Exploring behavior-driven development for code generation,"Y Liang, C Gan, R Ying, Z Cui - International Conference on Intelligent …, 2025",2026,Springer,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
23,From bugs to benefits: Improving user stories by leveraging crowd knowledge with cruise-ac,"S Schwedt, T Ströder - arXiv preprint arXiv:2501.15181, 2025",2026,arxiv.org,String A,EXCLUDE,EC4 - Không liên quan sinh test tự động BDD/Gherkin hoặc không dùng LLM,EXCLUDE,"EC4 - Chỉ bàn về test execution/maintenance, không sinh test tự động BDD"
